commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
31.483,2016-06-03 10:30:00,1,3140.8,2016-06-06 14:30:00,2,3155.8,108.517,10.0,IF88:CTP,62966.0,10
31.513,2016-06-07 14:30:00,3,3159.6,2016-06-08 09:45:00,4,3143.0,-207.5129999999991,10.0,IF88:CTP,63026.0,10
31.337,2016-06-08 14:45:00,5,3150.0,2016-06-13 09:45:00,6,3117.4,-367.3369999999991,10.0,IF88:CTP,62674.0,10
30.560000000000002,2016-06-16 10:15:00,7,3048.4,2016-06-17 10:45:00,8,3063.6,-192.55999999999818,10.0,IF88:CTP,61120.0,-10
30.484,2016-06-17 13:45:00,9,3035.8,2016-06-21 09:30:00,10,3061.0,-292.48399999999816,10.0,IF88:CTP,60968.0,-10
30.504,2016-06-21 14:45:00,11,3038.4,2016-06-22 13:00:00,12,3062.4,-280.504,10.0,IF88:CTP,61008.0,-10
30.595,2016-06-23 13:00:00,13,3042.2,2016-06-24 09:45:00,14,3076.8,-386.59500000000367,10.0,IF88:CTP,61190.0,-10
30.463,2016-06-24 10:45:00,15,3037.2,2016-06-27 10:45:00,16,3055.4,-222.46300000000272,10.0,IF88:CTP,60926.0,-10
31.478,2016-07-04 10:15:00,17,3139.0,2016-07-06 09:45:00,18,3156.6,134.52199999999908,10.0,IF88:CTP,62956.0,10
31.755,2016-07-06 13:45:00,19,3181.0,2016-07-07 13:45:00,20,3170.0,-151.755,10.0,IF88:CTP,63510.0,10
31.771,2016-07-07 14:15:00,21,3181.2,2016-07-08 10:30:00,22,3173.0,-123.77099999999818,10.0,IF88:CTP,63542.0,10
32.175,2016-07-11 09:45:00,23,3192.4,2016-07-14 10:15:00,24,3242.6,459.82499999999817,10.0,IF88:CTP,64350.0,10
32.378,2016-07-18 09:30:00,25,3243.2,2016-07-18 10:30:00,26,3232.4,-150.37799999999726,10.0,IF88:CTP,64756.0,10
32.065,2016-07-20 14:30:00,27,3209.8,2016-07-20 14:45:00,28,3203.2,-108.06500000000364,10.0,IF88:CTP,64130.0,10
32.058,2016-07-22 10:15:00,29,3203.6,2016-07-25 11:15:00,31,3208.0,-86.0580000000009,10.0,IF88:CTP,64116.0,-10
32.026,2016-07-25 11:15:00,32,3208.0,2016-07-25 14:15:00,34,3197.2,-150.02600000000183,10.0,IF88:CTP,64052.0,10
32.126,2016-07-25 14:15:00,35,3197.2,2016-07-26 10:00:00,37,3228.0,-350.1260000000018,10.0,IF88:CTP,64252.0,-10
31.79,2016-07-26 10:00:00,38,3228.0,2016-07-27 13:15:00,40,3130.0,-1021.79,10.0,IF88:CTP,63580.0,10
31.63,2016-07-27 13:15:00,41,3130.0,2016-07-28 14:45:00,42,3196.0,-701.63,10.0,IF88:CTP,63260.0,-10
31.720000000000002,2016-07-29 14:30:00,43,3181.4,2016-08-02 14:30:00,44,3162.6,146.28000000000182,10.0,IF88:CTP,63440.0,-10
