_number_,fastPeriod,slowPeriod,_status_,annualizedReturn,dailyCommission,dailyNetPnl,dailyReturn,dailySlippage,dailyTradeCount,dailyTurnover,endBalance,endDate,lossDays,maxDdPercent,maxDrawdown,profitDays,returnStd,sharpeRatio,startDate,totalCommission,totalDays,totalNetPnl,totalReturn,totalSlippage,totalTradeCount,totalTurnover
0,5,30,1,1.1519999999999486,0.0,48.00000000000006,0.0048000000000000065,0.0,0.4838709677419355,14851.483870967742,1001488.0,2019-01-15,7,-0.04214049761736428,-422.0,11,0.017396321450237687,4.274540480290246,2018-11-30,0.0,31,1488.0000000000018,0.14879999999999338,0.0,15,460396.0
2,5,70,1,0.8655483870967373,0.0,36.06451612903232,0.003606451612903231,0.0,0.2903225806451613,8924.967741935483,1001118.0,2019-01-15,6,-0.05632103790485739,-564.0,10,0.020793748026492205,2.686908972424126,2018-11-30,0.0,31,1118.0000000000018,0.11179999999999524,0.0,9,276674.0
1,5,50,1,0.8407741935483255,0.0,35.03225806451625,0.0035032258064516242,0.0,0.41935483870967744,12851.41935483871,1001086.0,2019-01-15,8,-0.062120609860598155,-622.0,10,0.020610280345351416,2.6332364196979774,2018-11-30,0.0,31,1086.0000000000036,0.10859999999999204,0.0,13,398394.0
5,15,70,1,0.5930322580645505,0.0,24.709677419354662,0.0024709677419354663,0.0,0.2903225806451613,8911.935483870968,1000766.0,2019-01-15,7,-0.07889049998601941,-790.0,8,0.017921573471627046,2.135976939454072,2018-11-30,0.0,31,765.9999999999945,0.07660000000000444,0.0,9,276270.0
3,15,30,1,0.3468387096774224,0.0,14.451612903225865,0.0014451612903225864,0.0,0.6129032258064516,19004.90322580645,1000448.0,2019-01-15,6,-0.0864261006824061,-864.0,16,0.024600634662675893,0.9100717419286589,2018-11-30,0.0,31,448.0000000000018,0.044800000000000395,0.0,19,589152.0
4,15,50,1,0.3344516129032165,0.0,13.935483870967536,0.0013935483870967543,0.0,0.2903225806451613,8949.161290322581,1000432.0,2019-01-15,6,-0.08101215182277342,-810.0,11,0.024675087780781008,0.8749212555286165,2018-11-30,0.0,31,431.99999999999363,0.043199999999998795,0.0,9,277424.0
