commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
31.513,2016-06-07 14:15:00,1,3155.8,2016-06-08 13:45:00,2,3146.8,-131.513,10.0,IF88:CTP,63026.0,10
31.35,2016-06-08 14:15:00,3,3148.8,2016-06-13 13:00:00,4,3121.2,-317.35000000000366,10.0,IF88:CTP,62700.0,10
30.534,2016-06-16 10:15:00,5,3048.4,2016-06-17 11:00:00,6,3058.4,-140.534,10.0,IF88:CTP,61068.0,-10
30.442,2016-06-20 11:15:00,7,3027.0,2016-06-21 09:45:00,8,3061.4,-384.4420000000009,10.0,IF88:CTP,60884.0,-10
30.572,2016-06-21 14:45:00,9,3038.4,2016-06-23 09:30:00,10,3076.0,-416.5719999999991,10.0,IF88:CTP,61144.0,-10
30.57,2016-06-23 14:45:00,11,3063.4,2016-06-27 10:15:00,12,3050.6,87.43000000000183,10.0,IF88:CTP,61140.0,-10
30.79,2016-06-28 11:00:00,13,3054.0,2016-06-29 11:15:00,15,3104.0,-540.79,10.0,IF88:CTP,61580.0,-10
31.024,2016-06-29 11:15:00,16,3104.0,2016-06-29 14:45:00,17,3100.8,-73.02399999999818,10.0,IF88:CTP,62048.0,10
31.103999999999996,2016-07-01 11:00:00,18,3125.2,2016-07-04 09:30:00,19,3095.6,-337.1039999999991,10.0,IF88:CTP,62207.99999999999,10
31.628999999999998,2016-07-04 10:30:00,20,3145.2,2016-07-05 10:45:00,21,3180.6,312.3710000000009,10.0,IF88:CTP,63257.99999999999,10
31.727,2016-07-06 14:15:00,22,3172.8,2016-07-08 09:45:00,23,3172.6,-43.72700000000273,10.0,IF88:CTP,63454.0,10
32.077,2016-07-11 09:45:00,24,3192.4,2016-07-12 10:30:00,25,3223.0,263.9229999999991,10.0,IF88:CTP,64154.0,10
32.781,2016-07-13 10:00:00,26,3284.2,2016-07-13 14:45:00,27,3272.0,-164.7809999999982,10.0,IF88:CTP,65562.0,10
32.393,2016-07-15 10:15:00,28,3242.2,2016-07-18 13:30:00,29,3236.4,-100.39299999999727,10.0,IF88:CTP,64786.0,10
32.178,2016-07-20 10:00:00,30,3217.0,2016-07-21 14:45:00,31,3218.6,-26.178000000000907,10.0,IF88:CTP,64356.0,10
31.766000000000005,2016-07-29 14:15:00,32,3189.8,2016-08-02 09:45:00,33,3163.4,222.2340000000009,10.0,IF88:CTP,63532.00000000001,-10
31.752,2016-08-03 13:15:00,34,3169.4,2016-08-05 09:30:00,35,3181.0,-157.7519999999991,10.0,IF88:CTP,63504.0,-10
32.343999999999994,2016-08-09 10:45:00,36,3226.6,2016-08-09 14:45:00,37,3242.2,113.6559999999991,10.0,IF88:CTP,64687.99999999999,10
32.426,2016-08-11 13:00:00,38,3248.0,2016-08-12 13:00:00,39,3237.2,-150.4260000000018,10.0,IF88:CTP,64852.0,10
33.246,2016-08-12 13:45:00,40,3250.8,2016-08-16 10:00:00,41,3398.4,1432.753999999999,10.0,IF88:CTP,66492.0,10
33.418,2016-08-17 13:45:00,42,3355.6,2016-08-19 10:30:00,43,3328.0,-319.4179999999991,10.0,IF88:CTP,66836.0,10
33.279,2016-08-22 09:45:00,44,3339.2,2016-08-22 14:45:00,45,3316.6,-269.2789999999991,10.0,IF88:CTP,66558.0,10
33.132,2016-08-23 14:15:00,46,3324.0,2016-08-23 14:45:00,47,3302.4,-259.1319999999991,10.0,IF88:CTP,66264.0,10
32.758,2016-08-29 10:00:00,48,3274.6,2016-08-30 11:15:00,49,3277.0,-66.75800000000092,10.0,IF88:CTP,65516.0,-10
33.059,2016-08-31 14:00:00,50,3302.8,2016-09-01 09:30:00,51,3309.0,-105.05899999999818,10.0,IF88:CTP,66118.0,-10
32.971000000000004,2016-09-01 10:00:00,52,3300.6,2016-09-02 13:00:00,53,3293.6,27.028999999999996,10.0,IF88:CTP,65942.0,-10
33.11,2016-09-06 09:30:00,54,3299.0,2016-09-06 14:45:00,56,3323.0,-283.11,10.0,IF88:CTP,66220.0,-10
33.264,2016-09-06 14:45:00,57,3323.0,2016-09-08 09:30:00,58,3329.8,24.736000000001816,10.0,IF88:CTP,66528.0,10
32.906,2016-09-09 10:30:00,59,3322.2,2016-09-12 10:15:00,61,3259.0,-674.9059999999981,10.0,IF88:CTP,65812.0,10
32.536,2016-09-12 10:15:00,62,3259.0,2016-09-13 10:00:00,63,3248.2,65.46400000000182,10.0,IF88:CTP,65072.0,-10
32.1,2016-09-14 11:00:00,64,3207.6,2016-09-19 11:15:00,65,3212.4,-90.10000000000181,10.0,IF88:CTP,64200.0,-10
32.24,2016-09-20 13:00:00,66,3214.0,2016-09-21 13:45:00,67,3234.0,-242.24,10.0,IF88:CTP,64480.0,-10
32.412,2016-09-22 14:30:00,68,3257.6,2016-09-26 13:30:00,69,3224.8,285.5879999999973,10.0,IF88:CTP,64824.0,-10
32.3,2016-09-28 14:30:00,70,3221.8,2016-09-29 14:00:00,72,3238.2,-206.29999999999637,10.0,IF88:CTP,64600.0,-10
32.398,2016-09-29 14:00:00,73,3238.2,2016-09-29 14:15:00,74,3241.4,-10.397999999997275,10.0,IF88:CTP,64796.0,10
32.415,2016-09-29 14:30:00,75,3244.0,2016-09-29 14:45:00,76,3239.0,-92.41499999999999,10.0,IF88:CTP,64830.0,10
32.845,2016-10-10 11:00:00,77,3273.8,2016-10-11 13:00:00,78,3295.2,171.15499999999636,10.0,IF88:CTP,65690.0,10
32.819,2016-10-13 09:30:00,79,3289.2,2016-10-14 13:00:00,80,3274.6,-188.8189999999991,10.0,IF88:CTP,65638.0,10
32.866,2016-10-17 09:30:00,81,3302.0,2016-10-17 14:30:00,82,3271.2,-350.8660000000018,10.0,IF88:CTP,65732.0,10
33.125,2016-10-18 14:00:00,83,3310.2,2016-10-19 14:15:00,84,3314.8,2.875000000003638,10.0,IF88:CTP,66250.0,10
33.175,2016-10-21 09:45:00,85,3291.4,2016-10-25 09:45:00,86,3343.6,478.82499999999817,10.0,IF88:CTP,66350.0,10
33.279,2016-10-26 13:15:00,87,3337.8,2016-10-31 09:30:00,88,3318.0,-241.27900000000182,10.0,IF88:CTP,66558.0,10
33.307,2016-11-01 09:45:00,89,3328.8,2016-11-02 10:30:00,90,3332.6,-5.307000000002731,10.0,IF88:CTP,66614.0,10
33.43,2016-11-03 11:15:00,91,3335.4,2016-11-04 13:00:00,92,3350.6,108.56999999999817,10.0,IF88:CTP,66860.0,10
33.498,2016-11-07 14:00:00,93,3349.6,2016-11-09 10:15:00,94,3350.0,-39.49799999999909,10.0,IF88:CTP,66996.0,10
33.88,2016-11-10 10:15:00,95,3397.4,2016-11-11 10:15:00,96,3378.6,-231.88000000000181,10.0,IF88:CTP,67760.0,10
34.204,2016-11-14 10:00:00,97,3424.2,2016-11-14 14:45:00,98,3416.6,-120.2039999999991,10.0,IF88:CTP,68408.0,10
33.946,2016-11-16 10:30:00,99,3398.4,2016-11-18 14:45:00,100,3390.8,-119.94599999999909,10.0,IF88:CTP,67892.0,10
34.135,2016-11-21 13:30:00,101,3417.4,2016-11-21 14:30:00,102,3409.6,-122.13500000000181,10.0,IF88:CTP,68270.0,10
34.493,2016-11-22 13:30:00,103,3440.8,2016-11-23 14:15:00,104,3457.8,125.507,10.0,IF88:CTP,68986.0,10
34.993,2016-11-24 14:30:00,105,3464.0,2016-11-28 14:45:00,106,3534.6,661.006999999999,10.0,IF88:CTP,69986.0,10
35.568,2016-12-01 10:30:00,107,3568.6,2016-12-02 11:00:00,108,3545.0,-281.5679999999991,10.0,IF88:CTP,71136.0,10
34.666000000000004,2016-12-07 11:15:00,109,3445.2,2016-12-09 13:45:00,110,3488.0,-472.6660000000018,10.0,IF88:CTP,69332.0,-10
34.139,2016-12-12 10:15:00,111,3444.2,2016-12-13 11:00:00,112,3383.6,561.8609999999991,10.0,IF88:CTP,68278.0,-10
33.507,2016-12-14 14:30:00,113,3387.8,2016-12-16 10:15:00,114,3313.6,698.4930000000028,10.0,IF88:CTP,67014.0,-10
