commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
31.593,2016-06-03 13:30:00,1,3156.0,2016-06-07 10:30:00,2,3162.6,24.406999999999087,10.0,IF88:CTP,63186.0,10
30.953,2016-06-13 13:00:00,3,3121.2,2016-06-13 14:45:00,5,3069.4,-558.9529999999972,10.0,IF88:CTP,61906.0,10
30.651000000000003,2016-06-13 14:45:00,6,3069.4,2016-06-15 10:00:00,7,3060.8,45.34899999999909,10.0,IF88:CTP,61302.00000000001,-10
30.411,2016-06-16 13:45:00,8,3039.0,2016-06-20 09:45:00,9,3043.2,-82.41099999999818,10.0,IF88:CTP,60822.0,-10
30.442,2016-06-20 11:15:00,10,3027.0,2016-06-21 09:45:00,11,3061.4,-384.4420000000009,10.0,IF88:CTP,60884.0,-10
30.541,2016-06-22 10:45:00,12,3048.2,2016-06-27 11:00:00,13,3060.0,-158.54100000000182,10.0,IF88:CTP,61082.0,-10
31.082,2016-06-29 13:15:00,14,3102.0,2016-06-30 10:15:00,15,3114.4,82.91800000000092,10.0,IF88:CTP,62164.0,10
31.648,2016-07-04 10:45:00,16,3152.0,2016-07-05 14:15:00,17,3177.6,214.3519999999991,10.0,IF88:CTP,63296.0,10
31.903000000000002,2016-07-07 11:15:00,18,3171.4,2016-07-12 13:30:00,19,3209.2,336.09699999999725,10.0,IF88:CTP,63806.0,10
32.638999999999996,2016-07-13 10:15:00,20,3285.2,2016-07-14 10:15:00,21,3242.6,-468.6389999999991,10.0,IF88:CTP,65277.99999999999,10
32.186,2016-07-15 14:00:00,22,3237.0,2016-07-19 14:30:00,24,3200.2,-410.1860000000018,10.0,IF88:CTP,64372.0,10
32.041000000000004,2016-07-19 14:30:00,25,3200.2,2016-07-20 13:45:00,27,3208.0,-120.04100000000182,10.0,IF88:CTP,64082.0,-10
32.055,2016-07-20 13:45:00,28,3208.0,2016-07-22 11:00:00,30,3203.0,-92.055,10.0,IF88:CTP,64110.0,10
32.016,2016-07-22 11:00:00,31,3203.0,2016-07-25 14:45:00,32,3200.2,-14.01599999999818,10.0,IF88:CTP,64032.0,-10
31.63,2016-07-27 13:15:00,33,3130.0,2016-07-28 14:45:00,34,3196.0,-701.63,10.0,IF88:CTP,63260.0,-10
31.515,2016-08-01 10:45:00,35,3146.4,2016-08-02 13:00:00,36,3156.6,-143.51499999999817,10.0,IF88:CTP,63030.0,-10
31.723,2016-08-04 11:00:00,37,3159.6,2016-08-05 13:30:00,38,3185.0,-295.7230000000009,10.0,IF88:CTP,63446.0,-10
32.32899999999999,2016-08-09 10:00:00,39,3221.6,2016-08-10 09:30:00,40,3244.2,183.67099999999908,10.0,IF88:CTP,64657.99999999999,10
33.116,2016-08-12 13:00:00,41,3237.2,2016-08-16 13:15:00,42,3386.0,1444.8840000000018,10.0,IF88:CTP,66232.0,10
33.471000000000004,2016-08-18 13:15:00,43,3363.0,2016-08-23 11:00:00,44,3331.2,-361.4710000000018,10.0,IF88:CTP,66942.0,10
32.824,2016-08-29 13:45:00,45,3278.8,2016-08-31 09:45:00,46,3286.0,-114.82399999999818,10.0,IF88:CTP,65648.0,-10
33.017,2016-08-31 10:45:00,47,3293.6,2016-08-31 13:15:00,48,3309.8,-205.01700000000272,10.0,IF88:CTP,66034.0,-10
33.042,2016-09-01 13:15:00,49,3294.4,2016-09-05 10:15:00,50,3314.0,-239.0419999999991,10.0,IF88:CTP,66084.0,-10
33.28,2016-09-07 09:45:00,51,3331.2,2016-09-08 10:15:00,52,3324.8,-107.27999999999636,10.0,IF88:CTP,66560.0,10
32.037,2016-09-19 09:30:00,53,3195.0,2016-09-19 11:15:00,54,3212.4,-216.03700000000092,10.0,IF88:CTP,64074.0,-10
32.337,2016-09-20 14:00:00,55,3210.6,2016-09-22 09:45:00,56,3256.8,-504.3370000000027,10.0,IF88:CTP,64674.0,-10
32.405,2016-09-23 09:30:00,57,3268.2,2016-09-27 11:15:00,58,3212.8,511.5949999999964,10.0,IF88:CTP,64810.0,-10
32.882,2016-10-10 14:00:00,59,3284.6,2016-10-11 14:15:00,60,3291.8,29.11800000000273,10.0,IF88:CTP,65764.0,10
32.854,2016-10-13 14:15:00,61,3291.6,2016-10-18 10:30:00,62,3279.2,-166.8540000000009,10.0,IF88:CTP,65708.0,10
33.095,2016-10-19 09:45:00,63,3325.8,2016-10-20 10:00:00,64,3293.2,-369.09500000000367,10.0,IF88:CTP,66190.0,10
33.104,2016-10-21 13:15:00,65,3283.4,2016-10-25 13:30:00,66,3337.4,496.896,10.0,IF88:CTP,66208.0,10
33.186,2016-10-28 09:30:00,67,3327.2,2016-10-31 13:00:00,69,3310.0,-215.1859999999982,10.0,IF88:CTP,66372.0,10
33.201,2016-10-31 13:00:00,70,3310.0,2016-11-01 11:00:00,72,3330.2,-245.20099999999817,10.0,IF88:CTP,66402.0,-10
33.265,2016-11-01 11:00:00,73,3330.2,2016-11-02 13:15:00,74,3322.8,-117.26499999999636,10.0,IF88:CTP,66530.0,10
33.51,2016-11-03 14:00:00,75,3360.0,2016-11-04 14:30:00,76,3342.0,-223.51,10.0,IF88:CTP,67020.0,10
33.302,2016-11-08 10:30:00,77,3353.8,2016-11-09 13:00:00,79,3306.6,-515.3020000000027,10.0,IF88:CTP,66604.0,10
33.456,2016-11-09 13:00:00,80,3306.6,2016-11-10 10:45:00,82,3384.6,-823.456,10.0,IF88:CTP,66912.0,-10
33.993,2016-11-10 10:45:00,83,3384.6,2016-11-11 13:15:00,84,3414.0,250.00700000000091,10.0,IF88:CTP,67986.0,10
34.286,2016-11-14 10:45:00,85,3436.6,2016-11-15 09:30:00,86,3420.6,-204.286,10.0,IF88:CTP,68572.0,10
33.918,2016-11-17 10:15:00,87,3394.2,2016-11-17 10:30:00,88,3389.4,-91.91799999999728,10.0,IF88:CTP,67836.0,10
